record,movement_type,natal_site,year,colony,dispersal_status,site,disturbance,study_site,area,Date,Time,Month,Week,day,day.s,hour,mark,uid,first_capture_wk,2nd_capture_wk,New_squirrel,mass,mass_div_100,sex,stage,min_age_master,repro,ag_dist,left_hf,mass_lhf,mass_lhf,beh_poop,beh_chat,beh_call,beh_strg,behav_wlk_bag,poop_coll,cort_fecal_ID,dry_mass,conc_pg_ml,conc_ng_g_div50,lnCort,trap_effect
9903,dispersal,moderate disturbance,2024,Paradise,post,0,Less disturbed,0,T_paradise,7/15/2024,10:48,JUL,29,197,19.7,10,sand_dollar,R1117,1,0,,955,9.55,M,A,4,,38.15,34.7,27.52161383,2.752161383,,,,,,1,252,1.6489,1493.604981,29.87209963,3.4,
8191,dispersal,moderate disturbance,2022,Paradise,post,0,Less disturbed,0,snake_tree_paradise,6/6/2022,12:36,JUN,23,157,15.7,12,elf_ear,R1139_L1197,1,0,0,705,7.05,F,A,2,5,9.48,36.22,19.5,4.9,0,0,0,1,1,1,153,1.3136,2105,42.1,3.74,
7685,dispersal,moderate disturbance,2021,Paradise,post,0,Less disturbed,0,snake_tree_paradise,6/29/2021,13:43,JUN,26,180,18,13,question_mark,R1140,1,0,0,535,5.35,M,A,1,2,24.3,36.74,14.6,3.6,0,0,0,0,1,1,376,0.4353,759.4872351,15.1897447,2.72,
8190,dispersal,moderate disturbance,2022,Paradise,post,0,Less disturbed,0,snake_tree_paradise,6/6/2022,12:35,JUN,23,157,15.7,12,question_mark,R1140,1,0,0,860,8.6,M,A,2,2,22.92,39.12,22,5.5,0,1,0,0,0,1,152,1.4234,1041,20.82,3.04,
9028,dispersal,moderate disturbance,2023,Paradise,post,0,Less disturbed,0,upper_runway_paradise,6/12/2023,10:09,JUN,24,163,16.3,10,question_mark,R1140,1,,,715,7.15,M,A,3,2,26.43,38.86,18.4,4.6,0,0,1,1,0,1,132,1.0859,723.1,14.462,2.67,
9116,dispersal,moderate disturbance,2023,Paradise,post,0,Less disturbed,0,lower_runway_paradise,6/26/2023,10:15,JUN,26,177,17.7,10,question_mark,R1140,1,,,840,8.4,M,A,3,2,23.23,37.52,22.4,5.6,0,0,0,0,0,1,197,0.4215,1115.601048,22.31202096,3.11,
9285,dispersal,moderate disturbance,2023,Paradise,post,0,Less disturbed,0,D_paradise,7/11/2023,9:36,JUL,28,192,19.2,9,question_mark,R1140,1,,,875,8.75,M,A,3,2,24.83,38.19,22.9,5.7,0,1,1,0,0,1,303,0.8673,1168.750922,23.37501844,3.15,
7350,dispersal,moderate disturbance,2021,Paradise,post,0,Less disturbed,0,snake_tree_paradise,6/8/2021,13:15,JUN,23,159,15.9,13,seven,R1142,1,0,0,405,4.05,M,A,1,1,14.2,34.48,11.7,2.9,1,1,0,1,1,1,180,0.2914,813.5178256,16.27035651,2.79,
7905,dispersal,moderate disturbance,2021,Paradise,post,0,Less disturbed,0,H_paradise,7/26/2021,11:24,JUL,30,207,20.7,11,twelve,R1184,1,0,0,570,5.7,M,A,1,2,24.86,34.86,16.4,4.1,0,0,1,0,1,1,523,0.6498,984.5192261,19.69038452,2.98,
7651,dispersal,moderate disturbance,2021,Paradise,post,0,Less disturbed,0,upper_runway_paradise,6/28/2021,10:06,JUN,26,179,17.9,10,walkie_talkie,R1196,1,0,0,580,5.8,M,A,1,1,25.12,37.68,15.4,3.8,1,0,0,0,1,1,347,0.6679,2258.188774,45.16377548,3.81,
7916,dispersal,moderate disturbance,2021,Paradise,post,0,Less disturbed,0,U_paradise,7/26/2021,13:09,JUL,30,207,20.7,13,walkie_talkie,R1196,1,0,0,580,5.8,M,A,1,2,26.53,30.48,19,4.8,0,0,0,0,0,1,533,0.4514,555.3636895,11.10727379,2.41,
8183,dispersal,moderate disturbance,2022,Paradise,post,0,Less disturbed,0,E_paradise,6/6/2022,10:44,JUN,23,157,15.7,10,yip_yip,R1213,1,0,0,725,7.25,F,A,2,4,9.59,36.01,20.1,5,0,1,0,0,1,1,146,0.4405,1070,21.4,3.06,
7910,dispersal,moderate disturbance,2021,Paradise,post,0,Less disturbed,0,fortress_paradise,7/26/2021,12:16,JUL,30,207,20.7,12,Baby_Yoda,R1226,1,0,0,340,3.4,F,P,0,3,7.02,32.97,10.3,2.6,1,0,0,0,1,1,528,0.5198,393.224272,7.864485439,2.06,
8180,dispersal,moderate disturbance,2022,Paradise,post,0,Less disturbed,0,playground_paradise,6/6/2022,10:02,JUN,23,157,15.7,10,Baby_Yoda,R1226,1,0,0,640,6.4,F,A,1,4,12.13,33.87,18.9,4.7,1,0,0,0,1,1,143,1.214,1444,28.88,3.36,
8657,dispersal,moderate disturbance,2022,Paradise,post,0,Less disturbed,0,playground_paradise,7/18/2022,10:31,JUL,29,199,19.9,10,Baby_Yoda,R1226,1,0,0,575,5.75,F,A,1,4,13.31,34.03,16.9,4.2,0,0,0,1,1,1,387,,766,15.32,2.73,
8658,dispersal,moderate disturbance,2022,Paradise,post,0,Less disturbed,0,snake_tree_paradise,7/18/2022,11:19,JUL,29,199,19.9,11,spoon,R1307,1,0,0,395,3.95,M,P,0,1,17.81,35.58,11.1,2.8,0,0,0,0,1,1,388,,483,9.66,2.27,
9686,dispersal,moderate disturbance,2024,Paradise,post,0,Less disturbed,0,bush_paradise,6/17/2024,10:56,JUN,25,169,16.9,10,ET,R1398_L1477,1,0,,695,6.95,F,A,1,,7.22,32.33,21.49706155,2.149706155,,,,,,1,102,2.2256,2730.4,54.608,4,
5550,dispersal,moderate disturbance,2019,Paradise,post,0,Less disturbed,0,X_paradise,6/24/2019,10:25,JUN,26,175,17.5,10,ribbon,R380,1,0,0,835,8.35,M,A,4,2,33.53,36.3,23,5.8,0,1,0,1,1,1,306,1.942,2501.758827,50.03517653,3.91,
3291,dispersal,moderate disturbance,2017,Paradise,post,0,Less disturbed,0,E_paradise,7/13/2017,12:27,JUL,28,194,19.4,12,monster,R390,1,0,0,870,8.7,M,A,2,2,27.91,35.95,24.2,6.1,0,0,0,0,1,1,375,1.137,1410.8249,28.216498,3.34,
5572,dispersal,moderate disturbance,2019,Paradise,post,0,Less disturbed,0,culvert_paradise,6/25/2019,11:30,JUN,26,176,17.6,11,monster,R390,0,1,0,820,8.2,M,A,4,2,29.04,34.92,23.5,5.9,0,0,0,0,1,1,322,1.557,2120.651926,42.41303853,3.75,
6072,dispersal,moderate disturbance,2019,Paradise,post,0,Less disturbed,0,culvert_paradise,7/29/2019,11:48,JUL,31,210,21,11,monster,R390,1,0,0,740,7.4,M,A,4,2,28.89,32.52,22.8,5.7,0,0,0,0,1,1,533,1.179,2281.429735,45.62859469,3.82,
5585,dispersal,moderate disturbance,2019,Paradise,post,0,Less disturbed,0,D_paradise,6/25/2019,12:56,JUN,26,176,17.6,12,target,R457_R1053,1,0,0,457,4.57,M,A,3,2,32.94,31.13,14.7,3.7,0,0,1,0,1,1,333,0.81,2141.724384,42.83448767,3.76,
6675,dispersal,moderate disturbance,2020,Paradise,post,0,Less disturbed,0,D_paradise,7/1/2020,12:09,JUL,27,183,18.3,12,target,R457_R1053,1,0,0,680,6.8,M,A,4,2,28.87,32.79,20.7,5.2,1,1,1,0,1,1,259,,972.6534166,19.45306833,2.97,
6814,dispersal,moderate disturbance,2020,Paradise,post,0,Less disturbed,0,lower_runway_paradise,7/13/2020,14:05,JUL,29,195,19.5,14,target,R457_R1053,1,0,0,660,6.6,M,A,4,2,34.31,30.15,21.9,5.5,0,0,1,0,0,1,342,,1062.326233,21.24652466,3.06,
3279,dispersal,moderate disturbance,2017,Paradise,post,0,Less disturbed,0,lower_runway_paradise,7/13/2017,9:35,JUL,28,194,19.4,9,tilda_over_t,R474,1,0,0,560,5.6,F,A,1,5,10.19,32.08,17.5,4.4,0,1,0,1,1,1,370,0.425,2353.278572,47.06557143,3.85,
6088,dispersal,moderate disturbance,2019,Paradise,post,0,Less disturbed,0,N_paradise,7/30/2019,11:31,JUL,31,211,21.1,11,sailor_moon,R499,1,0,0,905,9.05,M,A,4,2,29.28,37.16,24.4,6.1,0,0,0,1,1,1,549,1.54,1417.154825,28.3430965,3.34,
6631,dispersal,moderate disturbance,2020,Paradise,post,0,Less disturbed,0,L_paradise,6/29/2020,11:40,JUN,27,181,18.1,11,sailor_moon,R499,1,0,0,965,9.65,M,A,5,2,31.96,37.73,25.6,6.4,1,0,0,0,1,1,236,,884.172861,17.68345722,2.87,
3255,dispersal,moderate disturbance,2017,Paradise,post,0,Less disturbed,0,N_paradise,7/12/2017,10:30,JUL,28,193,19.3,10,on-off_button,R542,1,0,0,895,8.95,M,A,1,2,25.63,33.32,26.9,6.7,0,0,1,1,1,1,357,1.17,2822.111021,56.44222042,4.03,
3629,dispersal,moderate disturbance,2017,Paradise,post,0,Less disturbed,0,U_paradise,7/26/2017,12:45,JUL,30,207,20.7,12,on-off_button,R542,1,0,0,875,8.75,M,A,1,2,26.01,35.28,24.8,6.2,0,0,1,1,1,1,532,,2458.416736,49.16833472,3.9,
4497,dispersal,moderate disturbance,2018,Paradise,post,0,Less disturbed,0,G_paradise,6/25/2018,12:20,JUN,26,176,17.6,12,on-off_button,R542,1,0,0,1045,10.45,M,A,2,2,31.22,35.26,29.6,7.4,0,0,0,0,0,1,331,,1572.579237,31.45158474,3.45,
5542,dispersal,moderate disturbance,2019,Paradise,post,0,Less disturbed,0,culvert_paradise,6/24/2019,9:36,JUN,26,175,17.5,9,Bart_logo,R589,1,0,0,770,7.7,F,A,2,4,8.7,33.21,23.2,5.8,1,0,0,1,1,1,298,0.578,498.3304224,9.966608449,2.3,
8209,dispersal,moderate disturbance,2022,Paradise,post,0,Less disturbed,0,snake_tree_paradise,6/7/2022,11:09,JUN,23,158,15.8,11,Bart_logo,R589,1,0,0,765,7.65,F,A,5,4,10.63,35.22,21.7,5.4,0,0,0,0,1,1,163,0.838,1925,38.5,3.65,
