day.s,site,stage,sex,mass_div_100,year,area,uid,lnCort
17.7,1,A,M,7.1,2017,B_area_crow,R462_R577,3.12
19.2,1,A,M,8.2,2017,B_area_crow,R462_R577,4.28
13.6,1,A,M,8.1,2018,K_tree_crow,R462_R577,4.5
15.6,1,A,M,8.7,2018,K_tree_crow,R462_R577,4.42
14.2,1,A,M,7.05,2019,K_tree_crow,R462_R577,4.48
14.9,1,A,M,8,2019,P_tree_crow,R462_R577,3.88
15.4,1,A,M,7.95,2019,J_tree_crow,R462_R577,4.12
15.6,1,A,M,8.25,2020,G_tree_crow,R462_R577,4.34
16,1,A,M,8.3,2020,W_tree_crow,R462_R577,3.75
17.4,1,A,M,8.65,2020,P_tree_crow,R462_R577,4.02
18.9,1,A,M,8.35,2020,G_tree_crow,R462_R577,3.43
20.3,1,A,M,7.95,2020,G_tree_crow,R462_R577,5.38
14.5,1,A,M,7.15,2021,Y_tree_crow,R462_R577,3.52
16.1,1,P,F,1.6,2016,log_1_crow,R463,3.62
17.3,1,P,F,2.05,2016,log_1_crow,R463,3.99
19.4,1,P,F,2.95,2016,fence_crow,R463,3.88
20.4,1,P,F,3.25,2016,creek_crow,R463,3.34
9.5,1,A,F,6.3,2017,log_3_crow,R463,4.25
13.6,1,A,F,5,2017,log_2_crow,R463,3.62
14.4,1,A,F,5.35,2017,log_3_crow,R463,3.52
17.8,1,A,F,5.7,2017,log_1_crow,R463,2.74
19.3,1,A,F,5.75,2017,B_area_crow,R463,4.11
19.8,1,A,F,5.85,2017,B_area_crow,R463,4.38
20.7,1,A,F,6.2,2017,creek_crow,R463,5.81
8.7,1,A,F,5.9,2018,log_1_crow,R463,5.01
13.6,1,A,F,5.5,2018,log_2_crow,R463,5.23
15.3,1,P,F,2.4,2016,S_tree_crow,R464,4.66
16,1,P,F,2.6,2016,oak_crow,R464,3.84
17.3,1,P,F,3.05,2016,pine_crow,R464,3.44
18.8,0,P,F,3.05,2016,E_paradise,R464,3.48
20.3,0,P,F,3.45,2016,E_paradise,R464,3.62
19.2,0,A,F,5.8,2017,D_paradise,R464,3.87
20,1,A,F,5.8,2017,log_2_crow,R464,4.31
20.5,0,A,F,5.95,2017,D_paradise,R464,4.53
15.3,1,P,M,1.9,2016,K_tree_crow,R465,4.18
17.3,1,P,M,2.65,2016,R_tree_crow,R465,3.53
19.4,1,P,M,3.15,2016,T_tree_crow,R465,3.96
9.5,1,A,M,5.95,2017,A_area_crow,R465,4.72
14.1,1,A,M,6.55,2018,A_area_crow,R465,6.03
16.1,1,P,M,1.9,2016,L_tree_crow,R466,3.64
19.5,1,P,M,2.8,2016,L_tree_crow,R466,3.98
19.5,1,P,F,3.05,2016,Q_tree_crow,R467,3.39
16.1,1,P,F,2.2,2016,X_tree_crow,R469,3.81
17.3,1,P,F,2.5,2016,580_crow,R469,2.4
19.4,1,P,F,2.8,2016,Z_tree_crow,R469,3.49
9.5,1,A,F,6.3,2017,sunnyside_crow,R469,4.15
17.3,1,P,M,3,2016,B_area_crow,R471,3.1
19.4,1,P,M,3.1,2016,B_area_crow,R471,3.94
9.5,1,A,M,6.7,2017,oak_crow,R471,4.25
13.6,1,A,M,6.8,2017,oak_crow,R471,4.02
14.3,1,A,M,7.15,2017,oak_crow,R471,3.75
15,1,A,M,7.4,2017,U_tree_crow,R471,3.95
15.6,1,A,M,7.55,2017,U_tree_crow,R471,4.14
17.7,1,A,M,9.95,2017,oak_crow,R471,4.24
19.8,1,A,M,10.15,2017,cedar_crow,R471,4.33
15.6,1,A,M,8.75,2018,cedar_crow,R471,3.84
17,1,A,M,8.8,2018,cedar_crow,R471,4.99
19,1,A,M,9,2018,oak_crow,R471,5.49
20.4,1,A,M,9.45,2018,oak_crow,R471,4.12
14.2,1,A,M,7.35,2019,cedar_crow,R471,4.18
14.8,1,A,M,7.9,2019,P_tree_crow,R471,4.17
15.4,1,A,M,7.05,2019,R_tree_crow,R471,3.86
17,1,A,M,10.35,2019,V_tree_crow,R471,2.25
18.9,1,A,M,9.4,2019,cedar_crow,R471,4.11
19.7,1,A,M,9.8,2019,cedar_crow,R471,4.01
15.4,1,A,M,8.05,2020,N_tree_crow,R471,3.42
16,1,A,M,8.4,2020,cedar_crow,R471,3.47
17.4,1,A,M,9,2020,cedar_crow,R471,4.33
18.8,1,A,M,9,2020,cedar_crow,R471,3.56
19.8,1,A,M,8.65,2020,cedar_crow,R471,3.81
20.2,1,A,M,8.8,2020,cedar_crow,R471,2.99
21.2,1,A,M,8.8,2020,cedar_crow,R471,3.45
14,1,A,M,7.95,2021,cedar_crow,R471,3.19
17.3,1,A,M,8.3,2021,W_tree_crow,R471,3.52
18.7,1,A,M,8.15,2021,cedar_crow,R471,2.87
20,1,A,M,7.9,2021,cedar_crow,R471,3.74
16.1,1,P,M,2.05,2016,N_tree_crow,R472,3.57
17.4,1,P,M,2.55,2016,cedar_crow,R472,3.43
19.4,1,P,M,3,2016,oak_crow,R472,3.73
16.1,1,P,F,1.5,2016,T_tree_crow,R474,3.93
17.3,1,P,F,2.05,2016,N_tree_crow,R474,3.97
19.4,1,P,F,2.8,2016,pine_crow,R474,3.89
19.4,0,A,F,5.6,2017,lower_runway_paradise,R474,3.85
16,1,P,F,1.75,2016,log_2_crow,R475,3.39
17.3,1,P,F,2.2,2016,L_tree_crow,R475,3.75
19,1,P,F,2.75,2016,creek_crow,R475,3.32
19.4,1,P,F,2.95,2016,log_3_crow,R475,3.68
20.4,1,P,F,3.4,2016,creek_crow,R475,3.26
13.6,1,A,F,5.6,2017,log_1_crow,R475,3.76
14.3,1,A,F,5.55,2017,log_3_crow,R475,3.88
15,1,A,F,5,2017,log_3_crow,R475,3.91
15.6,1,A,F,4.9,2017,log_3_crow,R475,3.76
17.7,1,A,F,5.4,2017,log_3_crow,R475,4.43
19.1,1,A,F,5.8,2017,creek_crow,R475,5.45
19.8,1,A,F,7.25,2017,J_tree_crow,R475,3.13
20.5,1,A,F,7.05,2017,creek_crow,R475,4.57
16,1,P,F,1.65,2016,cedar_crow,R476_R580,3.9
17.4,1,P,F,2.3,2016,N_tree_crow,R476_R580,3.52
13.7,1,A,F,5.6,2017,J_tree_crow,R476_R580,3.91
14.4,1,A,F,5.1,2017,580_crow,R476_R580,3.71
15,1,A,F,5.8,2017,cedar_crow,R476_R580,3.79
15.7,1,A,F,5.95,2017,J_tree_crow,R476_R580,4.39
17.7,1,A,F,6.4,2017,K_tree_crow,R476_R580,3.83
19.9,1,A,F,7.05,2017,W_tree_crow,R476_R580,3.57
13.7,1,A,F,6.7,2018,W_tree_crow,R476_R580,4.49
14.2,1,A,F,6.75,2018,W_tree_crow,R476_R580,4.3
15.5,1,A,F,7.4,2018,cedar_crow,R476_R580,4.51
17.1,1,A,F,8.2,2018,W_tree_crow,R476_R580,2.89
19,1,A,F,8.6,2018,580_crow,R476_R580,2.64
7.8,1,A,F,6,2019,580_crow,R476_R580,4.21
14.2,1,A,F,6.05,2019,P_tree_crow,R476_R580,3.89
14.8,1,A,F,5.4,2019,W_tree_crow,R476_R580,4.46
15.3,1,P,F,1.95,2016,B_area_crow,R477,4.21
16.1,1,P,F,2.25,2016,A_area_crow,R477,3.15
17.4,1,P,F,2.7,2016,B_area_crow,R477,3.67
17.3,1,P,F,3.15,2016,cedar_crow,R478,2.96
13.6,1,A,F,7.55,2017,cedar_crow,R478,3.69
14.4,1,A,F,6.1,2017,sunnyside_crow,R478,2.42
15.1,1,A,F,6.2,2017,cedar_crow,R478,1.79
15.8,1,A,F,6.1,2017,S_tree_crow,R478,4.06
17.8,1,A,F,5.65,2017,580_crow,R478,3.49
20.1,1,A,F,5.8,2017,580_crow,R478,5.21
15.6,1,A,F,7.1,2018,580_crow,R478,3.96
17.1,1,A,F,8,2018,580_crow,R478,2.57
14.2,1,A,F,6.3,2019,580_crow,R478,4.4
14.9,1,A,F,6.55,2019,580_crow,R478,4.18
15.4,1,A,F,6.35,2019,R_tree_crow,R478,3.94
16.8,1,A,F,6.5,2019,P_tree_crow,R478,3.8
19,1,A,F,6.75,2019,580_crow,R478,3.74
15.7,1,A,F,6.55,2020,580_crow,R478,3.06
16.3,1,A,F,7.05,2020,Y_tree_crow,R478,2.77
18.8,1,A,F,7.25,2020,sunnyside_crow,R478,3.41
20.2,1,A,F,7.2,2020,580_crow,R478,3.62
16,1,P,F,2.45,2016,A_area_crow,R479,3.64
17.3,1,P,F,2,2016,A_area_crow,R479,4.02
13.6,1,A,F,5.25,2017,B_area_crow,R479,3.41
14.4,1,A,F,5.45,2017,B_area_crow,R479,3.94
15.2,1,A,F,5.25,2017,L_tree_crow,R479,3.56
15.6,1,A,F,5.2,2017,B_area_crow,R479,4.7
19.3,1,A,F,5.8,2017,B_area_crow,R479,4.1
19.8,1,A,F,5.85,2017,B_area_crow,R479,4.19
8.7,1,A,F,4.8,2018,B_area_crow,R479,4.3
14.1,1,A,F,4.95,2018,A_area_crow,R479,6.13
17,1,A,F,5.85,2018,B_area_crow,R479,5.41
19,1,A,F,6.85,2018,B_area_crow,R479,2.95
20.4,1,A,F,7.35,2018,B_area_crow,R479,4.34
14.2,1,A,F,5.45,2019,A_area_crow,R479,3.78
14.8,1,A,F,5.25,2019,A_area_crow,R479,4.12
15.4,1,A,F,5.15,2019,B_area_crow,R479,4.89
17.5,1,P,M,2.05,2016,580_crow,R480,3.19
16,1,P,M,2.05,2016,A_area_crow,R481,3.67
17.3,1,P,M,2.2,2016,A_area_crow,R481,3.8
19.4,1,P,M,2.5,2016,A_area_crow,R481,3.87
17.4,1,P,M,2.05,2016,cedar_crow,R482,3.29
16.1,1,P,F,1.45,2016,T_tree_crow,R484,3.43
17.3,1,P,F,1.85,2016,T_tree_crow,R484,3.34
19.4,1,P,F,2.3,2016,S_tree_crow,R484,3.88
13.6,1,A,F,5.3,2017,T_tree_crow,R484,2.95
14.3,1,A,F,5.7,2017,T_tree_crow,R484,3.02
15,1,A,F,5.75,2017,T_tree_crow,R484,3.6
15.6,1,A,F,6.4,2017,T_tree_crow,R484,3.22
17.7,1,A,F,6.75,2017,log_3_crow,R484,3.97
19.1,1,A,F,7.35,2017,fence_crow,R484,4.29
19.8,1,A,F,7.55,2017,cedar_crow,R484,3.26
8.7,1,A,F,5.2,2018,pine_crow,R484,5.11
13.6,1,A,F,6.8,2018,log_2_crow,R484,4.72
14.1,1,A,F,7.1,2018,Q_tree_crow,R484,5
16,1,P,M,2.75,2016,A_area_crow,R485,3.35
16.1,1,P,F,0.8,2016,oak_crow,R486_R650,3.88
17.8,1,A,F,7.9,2017,580_crow,R486_R650,3.8
19.9,1,A,F,7.85,2017,T_tree_crow,R486_R650,4
14.3,1,A,F,7.75,2018,T_tree_crow,R486_R650,4.35
15.6,1,A,F,8.85,2018,purgatory_crow,R486_R650,4.83
17,1,A,F,9.55,2018,W_tree_crow,R486_R650,4.66
17,1,A,F,8.3,2019,Cedar_crow,R486_R650,2.24
19.8,1,A,F,8.45,2019,pine_crow,R486_R650,3.87
16.6,0,A,F,6.1,2016,backstage_paradise,R487,3.37
16.6,0,A,F,4.75,2016,tea_shop_paradise,R488,3.61
